日付,部位,種目,セット,重量kg,回数,RIR
2026-07-07,脚,バーベルスクワット,2,90,3,
2026-07-07,脚,バーベルスクワット,3,80,4,
2026-07-07,胸,足座るところ4.5見えるシート5ペックフライ,1,40,8,
2026-07-07,胸,足座るところ4.5見えるシート5ペックフライ,2,40,6,
2026-07-07,胸,足座るところ4.5見えるシート5ペックフライ,3,35,10,
2026-07-07,胸,足座るところ4.5見えるシート5ペックフライ,4,40,8,
2026-07-07,胸,インクラインダンベルプレス,1,20,8,
2026-07-07,胸,インクラインダンベルプレス,2,20,6,
2026-07-07,胸,インクラインダンベルプレス,3,20,5,
2026-07-07,胸,シート5手4マシンインクラインプレス,1,56,9,
2026-07-07,胸,シート5手4マシンインクラインプレス,2,56,5,
2026-07-07,胸,シート5手4マシンインクラインプレス,3,56,5,
2026-07-07,胸,シート5手4マシンインクラインプレス,4,46,9,
2026-07-07,胸,ベンチプレス,1,90,3,
2026-07-07,胸,ベンチプレス,2,90,3,
2026-07-07,胸,ベンチプレス,3,80,4,
2026-07-07,胸,ベンチプレス,4,80,4,
2026-07-09,肩,フェイスプル,1,15,15,
2026-07-09,肩,フェイスプル,2,15,14,
2026-07-09,肩,フェイスプル,3,20,10,
2026-07-09,肩,フェイスプル,4,20,15,
2026-07-09,肩,座ってやるサイドレイズ,1,6,15,
2026-07-09,肩,座ってやるサイドレイズ,2,6,11,
2026-07-09,肩,座ってやるサイドレイズ,3,6,15,
2026-07-09,肩,座ってやるサイドレイズ,4,6,15,
2026-07-09,肩,アップライトロー,1,40,8,
2026-07-09,肩,アップライトロー,2,40,9,
2026-07-09,肩,アップライトロー,3,40,6,
2026-07-09,肩,アップライトロー,4,40,6,
2026-07-09,肩,ミリタリープレス,1,45,4,
2026-07-09,肩,ミリタリープレス,2,45,3,
2026-07-09,肩,ミリタリープレス,3,45,3,
2026-07-09,肩,ミリタリープレス,4,40,6,
2026-07-09,肩,ダンベルショルダープレス,1,24,8,
2026-07-09,肩,ダンベルショルダープレス,2,24,6,
2026-07-09,肩,ダンベルショルダープレス,3,20,8,
2026-07-09,肩,ダンベルショルダープレス,4,20,7,
2026-07-16,腕,オーバーヘッドエクステンション,1,30,8,
2026-07-16,腕,オーバーヘッドエクステンション,2,30,8,
2026-07-16,腕,オーバーヘッドエクステンション,3,30,8,
2026-07-16,胸,ベンチプレス,1,75,5,
2026-07-16,胸,ベンチプレス,2,75,5,
2026-07-16,胸,ベンチプレス,3,75,5,
2026-07-16,胸,ベンチプレス,4,75,5,
2026-07-16,胸,ベンチプレス,5,75,5,
2026-07-22,胸,ベンチプレス,1,77.5,5,
2026-07-22,胸,ベンチプレス,2,77.5,5,
2026-07-22,胸,ベンチプレス,3,77.5,5,
2026-07-22,胸,ベンチプレス,4,77.5,5,
2026-07-22,胸,ベンチプレス,5,77.5,5,
2026-07-22,胸,インクラインダンベルプレス,1,22,8,
2026-07-22,胸,インクラインダンベルプレス,2,22,5,
2026-07-22,胸,インクラインダンベルプレス,3,20,5,
2026-07-22,胸,足座るところ4.5見えるシート5ペックフライ,1,35,9,
2026-07-22,胸,足座るところ4.5見えるシート5ペックフライ,2,35,7,
2026-07-22,胸,足座るところ4.5見えるシート5ペックフライ,3,35,7,
2026-07-22,肩,マシンサイドレイズ,1,20,15,
2026-07-22,肩,マシンサイドレイズ,2,20,12,
2026-07-22,肩,マシンサイドレイズ,3,15,15,
2026-07-22,腕,ケーブルトライセプスエクステンション,1,40,13,
2026-07-22,腕,ケーブルトライセプスエクステンション,2,40,8,
2026-07-22,腕,ケーブルトライセプスエクステンション,3,35,8,
2026-07-22,腕,ケーブルトライセプスエクステンション,4,35,6,
2026-07-22,腕,ケーブル三頭エクステンション,1,35,5,
2026-07-22,腕,ケーブル三頭エクステンション,2,25,8,
2026-07-22,腕,ケーブル三頭エクステンション,3,25,8,
2026-07-23,脚,バーベルスクワット,1,85,5,
2026-07-23,脚,バーベルスクワット,2,85,5,
2026-07-23,脚,バーベルスクワット,3,80,5,
2026-07-23,脚,マシンレッグプレス,1,60,7,
2026-07-23,脚,マシンレッグプレス,2,55,9,
2026-07-23,脚,マシンレッグプレス,3,55,8,
2026-07-23,脚,レッグカール,1,45,10,
2026-07-23,脚,レッグカール,2,45,8,
2026-07-23,脚,レッグカール,3,40,9,
2026-07-23,背中,荷重チンニング,1,77,7,
2026-07-23,背中,荷重チンニング,2,77,5,
2026-07-23,背中,荷重チンニング,3,77,3,
2026-07-25,胸,ベンチプレス,1,70,8,
2026-07-25,胸,ベンチプレス,2,70,8,
2026-07-25,胸,ベンチプレス,3,70,8,
2026-07-25,胸,チェストプレス,1,56,7,
2026-07-25,胸,チェストプレス,2,56,5,
2026-07-25,背中,Tバーロー,1,65,10,
2026-07-25,背中,Tバーロー,2,65,7,
2026-07-25,背中,Tバーロー,3,60,7,
2026-07-25,背中,ストレートバー反対持ラットプル,1,45,10,
2026-07-25,背中,ストレートバー反対持ラットプル,2,45,9,
2026-07-25,背中,ストレートバー反対持ラットプル,3,45,7,
2026-07-25,腹,アブドミナル,1,55,10,
2026-07-25,腹,アブドミナル,2,55,6,
2026-07-25,腹,アブドミナル,3,45,7,

日付,体重kg
2026-07-24,67
